Subject,Detailed_Condition,Score,Trials,Lexical.ACC,Lexical.RT_mean,Lexical.RT_sd,Penalty,Reward,TestDuration,Load_Condition,Speed_Condition,Lexical.Correct_Trials,Lexical.Correct_RT_mean,Lexical.Correct_RT_sd,Lexical.Incorrect_Trials,Lexical.Incorrect_RT_mean,Lexical.Incorrect_RT_sd,RT_sec,RewardRate,Payoff,a,v,t0
19092,Load_Speed_Mid,560,40,0.8,929.75,379.734235674886,10,20,60,Load,Speed_Mid,32,921.59375,393.909098681655,8,962.375,338.691995561074,0.92975,15.057811239580532,10,1.555093,2.867281,0.390994
19092,NoLoad_Accuracy_Max,740,47,0.957446808510638,751.957446808511,291.36955149975,80,20,60,NoLoad,Accuracy_Max,45,753.844444444444,297.71233488627,2,709.5,40.3050865276332,0.751957446808511,20.938260426687748,80,1.389692,5.0205,0.454823
19092,NoLoad_Accuracy_Mid,360,36,0.833333333333333,1146.55555555556,694.156032045675,40,20,60,NoLoad,Accuracy_Mid,30,1211.46666666667,738.037740056108,6,822,249.04939269149,1.14655555555556,8.721775365829973,40,1.340946,3.425232,0.425735
19092,NoLoad_Neutral,580,44,0.828165374677003,817.917571059432,356.45765546427,20,20,60,NoLoad,Neutral,73,799.150684931507,291.493885548264,15,905.133333333333,620.14823880685,0.817917571059432,16.048823807608734,20,1.344341,2.539921,0.461276
19092,NoLoad_Speed_Max,765,47,0.851063829787234,737.063829787234,311.066706410679,5,20,60,NoLoad,Speed_Max,40,725.1,291.722189587004,7,805.428571428571,426.93904996024,0.737063829787234,22.08302061081924,5,1.315505,3.570167,0.431893
19092,NoLoad_Speed_Mid,830,49,0.897959183673469,689.367346938776,233.156036260908,10,20,60,NoLoad,Speed_Mid,44,692.863636363636,215.759188643598,5,658.6,388.057727664326,0.689367346938776,24.57147932147189,10,1.421475,5.205143,0.395442
19093,Load_Accuracy_Max,580,39,0.948717948717949,980.769230769231,577.115580029296,80,20,60,Load,Accuracy_Max,37,979.189189189189,591.818470565174,2,1010,213.546247918337,0.980769230769231,15.163398692810485,80,2.320834,2.795011,0.238007
19093,Load_Accuracy_Mid,920,49,0.979591836734694,662.163265306122,241.139339640899,40,20,60,Load,Accuracy_Mid,48,647.479166666667,220.442880099414,1,1367,NA,0.6621632653061219,28.354804906614095,40,1.55338,3.408178,0.340003
19093,Load_Neutral,870,50.5,0.931372549019608,633.607843137255,246.942971040524,20,20,60,Load,Neutral,94,630.925531914894,243.974273249821,7,668.571428571429,291.427439306858,0.633607843137255,27.232778362319735,20,1.334003,5.033667,0.393211
19093,Load_Speed_Max,930,49,0.959183673469388,661.387755102041,279.916566165001,5,20,60,Load,Speed_Max,47,645.36170212766,274.372836272099,2,1038,48.0832611206852,0.661387755102041,28.69661811898297,5,1.633365,3.966607,0.325377
19093,Load_Speed_Mid,820,47,0.914893617021277,711.723404255319,285.43610433462,10,20,60,Load,Speed_Mid,43,727.790697674419,291.224554019381,4,539,135.727668513093,0.711723404255319,24.513467459866696,10,1.473744,3.459149,0.379942
19093,NoLoad_Accuracy_Max,560,53,0.905660377358491,589.358490566038,157.422397773489,80,20,60,NoLoad,Accuracy_Max,48,587.395833333333,159.735384851819,5,608.2,147.877314014016,0.589358490566038,17.92803175822776,80,1.002106,7.937467,0.481606
19093,NoLoad_Accuracy_Mid,960,54,0.962962962962963,583.351851851852,195.798043566402,40,20,60,NoLoad,Accuracy_Mid,52,583.423076923077,197.945659621261,2,581.5,183.140656327316,0.583351851851852,30.475223008793364,40,1.400808,5.634457,0.364703
19093,NoLoad_Neutral,890,56.5,0.893640350877193,525.950344611529,122.348376250501,20,20,60,NoLoad,Neutral,101,528.217821782178,117.501285436407,12,506.25,160.594987468476,0.525950344611529,29.93745359501105,20,1.355676,6.334152,0.36334
19093,NoLoad_Speed_Max,1065,57,0.947368421052632,522.245614035088,127.171464777418,5,20,60,NoLoad,Speed_Max,54,525.074074074074,129.138195956064,3,471.333333333333,82.4398770822309,0.522245614035088,35.77667293738243,5,1.148056,7.792894,0.402179
19093,NoLoad_Speed_Mid,890,58,0.844827586206897,502.551724137931,126.87003605898,10,20,60,NoLoad,Speed_Mid,49,496.061224489796,89.3719773762226,9,537.888888888889,255.141355156531,0.502551724137931,30.533827363798572,10,0.878917,6.005506,0.391431
19094,Load_Accuracy_Max,760,43,0.976744186046512,848.093023255814,359.634855424054,80,20,60,Load,Accuracy_Max,42,856.928571428571,359.239535065403,1,477,NA,0.848093023255814,20.840188658550005,80,1.773058,3.083822,0.392569
19094,Load_Accuracy_Mid,760,44,0.954545454545455,806.409090909091,319.266697451331,40,20,60,Load,Accuracy_Mid,42,798.809523809524,323.037356300508,2,966,226.274169979695,0.806409090909091,21.41931120004513,40,1.939557,3.468515,0.376715
19094,Load_Neutral,630,42.5,0.87015503875969,849.641472868217,624.005341246638,20,20,60,Load,Neutral,74,849.364864864865,643.674502407841,11,849.363636363636,485.441092765594,0.849641472868217,17.426411048892035,20,1.214811,3.061766,0.390722
19094,Load_Speed_Max,775,45,0.888888888888889,772.244444444444,407.625449488507,5,20,60,Load,Speed_Max,40,789.45,428.842206949757,5,634.6,89.5589191538174,0.772244444444444,22.30151650312223,5,1.235286,3.195616,0.42564
19094,Load_Speed_Mid,860,49,0.918367346938776,666.326530612245,200.007123597626,10,20,60,Load,Speed_Mid,45,658.844444444444,200.941981173621,4,750.5,193.78596440403,0.666326530612245,26.339969372128653,10,1.342859,3.700493,0.420303
19094,NoLoad_Accuracy_Max,940,47,1,746.021276595745,274.763256938682,80,20,60,NoLoad,Accuracy_Max,47,746.021276595745,274.763256938682,0,NA,NA,0.746021276595745,26.808886860793418,80,1.567778,3.760956,0.447205
19094,NoLoad_Accuracy_Mid,540,48,0.854166666666667,699.333333333333,249.193621493223,40,20,60,NoLoad,Accuracy_Mid,41,671.024390243902,178.112813661016,7,865.142857142857,487.221177896113,0.699333333333333,16.0867492850334,40,1.252567,3.413538,0.444114
19094,NoLoad_Neutral,790,48.5,0.907100340136054,700.989158163265,339.941648498108,20,20,60,NoLoad,Neutral,88,699.75,352.263689438114,9,712.111111111111,206.784576579374,0.700989158163265,23.230050587529213,20,1.063139,4.848408,0.464817
19094,NoLoad_Speed_Max,865,52,0.865384615384615,622.076923076923,199.857875595148,5,20,60,NoLoad,Speed_Max,45,630.555555555556,209.089210577203,7,567.571428571429,122.110410616591,0.622076923076923,26.740447632001963,5,0.894764,4.281923,0.45088
